source,target,weight,int
BMDC-DIST-MT1,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Gig 1/0/24
BMDC-DIST-MT1,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Gig 1/0/23
BMDC-DIST-MT1,BMDC-SW-DATACENTER.bankmayapada.local,1,Gig 0/0
BMDC-DIST-MT1,BMDC-SW-DATACENTER.bankmayapada.local,1,Gig 1/0/22
BMDC-DIST-MT1,BMDC-SW-DATACENTER.bankmayapada.local,1,Gig 1/0/21
SW-MT2-SVR,MT2-DEV-DMZ1.bankmayapada.local,1,Gig 1/0/45
SW-MT2-SVR,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
MYPD-ARTAJASA,BMDC-SW-EXT-OUT.bankmayapada.local,1,Gig 0/1/0
BMDRC-SW-EC-OUT,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,1,Fas 0
BMDC-SW-EXT-OUT,BMDC-MGMT-A3.bankmayapada.local,1,Fas 0
BMDC-SW-EXT-OUT,ITBACKUP-ALTERRA.bankmayapada.local,1,Gig 1/0/11
BMDC-SW-EXT-OUT,MYPD-BH-EXT-DIMO.bankmayapada.local,1,Gig 1/0/5
BMDC-SW-EXT-OUT,RO1-AWS-TO-DCI,1,Gig 1/0/14
BMDC-SW-EXT-OUT,MYPD-TIFHONE.bankmayapada.local,1,Gig 1/0/29
BMDC-SW-EXT-OUT,RO2-AWS-TO-NTT,1,Gig 1/0/13
BMDC-SW-EXT-OUT,MYPD-SGO.bankmayapada.local,1,Gig 1/0/35
BMDC-SW-EXT-OUT,EFT-MAYAPADA-TOWER.primacom.co.id,1,Gig 1/0/33
BMDC-SW-EXT-OUT,ISR-IT-BACKUP.bankmayapada.local,1,Gig 1/0/26
BMDC-SW-EXT-OUT,SW-JTPM.bankmayapada.local,1,Gig 2/0/16
BMDC-SW-EXT-OUT,SW-JTPM.bankmayapada.local,1,Gig 1/0/20
BMDC-SW-EXT-OUT,SW-JTPM.bankmayapada.local,1,Gig 1/0/27
BMDC-SW-EXT-OUT,SW-JTPM.bankmayapada.local,1,Gig 1/0/19
BMDC-SW-EXT-OUT,MYPD-DUKCAPIL.bankmayapada.local,1,Gig 1/0/23
BMDC-SW-EXT-OUT,MYPD-BI.bankmayapada.local,1,Gig 1/0/25
BMDC-SW-EXT-OUT,MYPD-STARLINK.bankmayapada.local,1,Gig 1/0/30
BMDC-SW-EXT-OUT,MYPD-KEMENKEU.bankmayapada.local,1,Gig 1/0/28
BMDC-SW-EXT-OUT,MYPD-FINNET.bankmayapada.local,1,Gig 1/0/32
BMDC-SW-EXT-OUT,MYPD-ARTAJASA.bankmayapada.local,1,Gig 1/0/34
BMDC-SW-EXT-OUT,BMDC-DJP-B.bankmayapada.local,1,Gig 1/0/10
BMDRC-EDGE01,BMDRC-RTRWAN01.bankmayapada.local,1,Gig 1/0/12
BMDRC-EDGE01,BMDRC-RTRWAN01.bankmayapada.local,1,Gig 1/0/11
BMDRC-EDGE01,BMDRC-CORE01(JAF1801ARAG),1,Gig 1/0/24
BMDRC-EDGE01,BMDRC-CORE01(JAF1801ARAG),1,Gig 1/0/23
BMDRC-EDGE01,BMDRC-RTRH2H01.bankmayapada.com,1,Gig 1/0/8
BMDRC-EDGE01,BMDRC-RTRH2H01.bankmayapada.com,1,Gig 1/0/7
BMDRC-EDGE01,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,1,Gig 0/0
