No,Local Hostname,Local Interface,Local Platform,Remote Hostname,Remote Interface,Remote Platform,Capability
62,CORE-MT2,Gig 1/1/2,,SW-MT2-AUDIT1.bankmayapada.local,Gig 1/0/48,WS-C2960S,S I
62,CORE-MT2,Gig 1/1/3,,SW-MT2-AUDIT2.bankmayapada.local,Gig 1/0/48,WS-C2960S,S I
62,CORE-MT2,Gig 1/1/4,,SW-MT2-HRD.bankmayapada.local,Gig 1/0/48,WS-C2960S,S I
24,BMDC-F5-ISP-OUT,Gig 2/0/15,,BMDC-F5-ISP-OUT.bankmayapada.local,Gig 1/0/16,WS-C2960X,S I
36,BMDC-SW-EXT-OUT,Gig 2/0/16,,SW-JTPM.bankmayapada.local,Gig 1/0/22,WS-C2960X,S I
24,BMDC-F5-ISP-OUT,Gig 2/0/19,,MYPD-LINKNET-IB.bankmayapada.local,Gig 0/0/1,ISR4321/K,R S I
24,BMDC-F5-ISP-OUT,Gig 2/0/20,,MYPD-LINKNET-IB.bankmayapada.local,Gig 0/2/0,ISR4321/K,R S I
20,BMDC-EGSW-EC-01,Gig 2/0/23,,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),Eth 1/8,N77-C7706,R S C
20,BMDC-EGSW-EC-01,Gig 2/0/24,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),Eth 1/12,N77-C7706,R S C
24,BMDC-F5-ISP-OUT,Gig 2/0/4,,MikroTik,br-28/ether1==>CRT2001002593,MikroTik,R
24,BMDC-F5-ISP-OUT,Gig 2/0/7,,MAYAPADA-rt,Gig 0/1,CISCO1941,R S I
1,BMDC-ACCSVR-N9K-RAKC1,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/17,WS-C2960X-48T,S I
2,BMDC-ACCSVR-N9K-RAKD1,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/15,WS-C2960X-48T,S I
3,BMDC-AGGSVR-01,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/42,WS-C2960X-48T,S I
4,BMDC-AGGSVR-02,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/14,WS-C2960X-48T,S I
9,BMDC-CORE-01,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/42,WS-C2960X-48T,S I
10,BMDC-CORE-02,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/14,WS-C2960X-48T,S I
26,BMDC-OTV-01,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/42,WS-C2960X-48T,S I
27,BMDC-OTV-02,mgmt0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig1/0/14,WS-C2960X-48T,S I
45,BMDRC-AGGRSVR01,mgmt0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig1/0/47,WS-C2960S-48T,S I
46,BMDRC-CORE01,mgmt0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig1/0/47,WS-C2960S-48T,S I
49,BMDRC-OTV01,mgmt0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig1/0/47,WS-C2960S-48T,S I
13,BMDC-DIST-MT1,Ten 1/1/3,,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),Eth 1/11,N77-C7706,R S C
13,BMDC-DIST-MT1,Ten 1/1/4,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),Eth 1/16,N77-C7706,R S C
