No,Local Hostname,Local Interface,Local Platform,Remote Hostname,Remote Interface,Remote Platform,Capability
45,BMDRC-AGGRSVR01,Eth4/27,,BMDRC-ACCSVR02-RAK-D06.bankmayapada.loca,Gig1/0/48,WS-C2960X-48T,S I
45,BMDRC-AGGRSVR01,Eth4/28,,BMDRC-OTV01.bankmayapada.local(JAF1801ARAG),Eth4/22,N7K-C7009,R S I s
45,BMDRC-AGGRSVR01,Eth4/29,,BMDRC-ACCSVR-RAKC5.bankmayapada.local,Gig1/0/47,WS-C2960X-48T,S I
45,BMDRC-AGGRSVR01,Eth4/30,,BMDRC-ACCSVR04-RAKC6.bankmayapada.local,Gig1/0/48,WS-C2960X-48T,S I
46,BMDRC-CORE01,Eth4/8,,BMDRC-OTV01.bankmayapada.local(JAF1801ARAG),Eth4/21,N7K-C7009,R S s
14,BMDC-EC-IC-IB-OUT,Fas 0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/27,WS-C2960X,S I
24,BMDC-F5-ISP-OUT,Fas 0,,BMDC-SW-DATACENTER.bankmayapada.local,Gig 1/0/35,WS-C2960S,S I
30,BMDC-RAK-D1-DEV,Fas 0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/19,WS-C2960X,S I
34,BMDC-SW-EC-DMZ,Fas 0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/22,WS-C2960X,S I
35,BMDC-SW-EXT-DMZ,Fas 0,,BMDC-SW-DATACENTER.bankmayapada.local,Gig 1/0/30,WS-C2960S,S I
36,BMDC-SW-EXT-OUT,Fas 0,,BMDC-MGMT-A3.bankmayapada.local,Gig 1/0/12,WS-C2960X,S I
37,BMDC-SW-IC-DMZ,Fas 0,,BMDC-SW-DATACENTER.bankmayapada.local,Gig 1/0/23,WS-C2960S,S I
38,BMDC-SW-ISP-EC,Fas 0,,BMDC-SW-DATACENTER.bankmayapada.local,Gig 1/0/12,WS-C2960S,S I
40,BMDC-SW-RAK-D1,Fas 0,,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,Gig 1/0/16,WS-C2960X,S I
41,BMDRC-ACCSVR-RAKC5,Fas 0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/37,WS-C2960S,S I
43,BMDRC-ACCSVR02-RAK-D06,Fas 0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/39,WS-C2960S,S I
44,BMDRC-ACCSVR04-RAKC6,Fas 0,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig 1/0/38,WS-C2960S,S I
