source,target,weight,int
BMDC-DIST-MT1,BMDC-ASSW-L1M1-KIRI,1,Gig 1/0/15
BMDC-SW-MGMT-RAK-B1,BMDC-ACCSVR-N9K-RAKD1,1,Gig 1/0/15
CCPL-CORE-SW,CCPL-SW-02,1,Gig 1/0/15
CORE-MT2,MT2-LT15-04,1,Gig 1/0/15
BMDC-DIST-MT1,BMDC-ASSW-L1M1-KIRI,1,Gig 1/0/16
BMDC-F5-ISP-OUT,BMDC-F5-ISP-OUT,1,Gig 1/0/16
BMDC-SW-MGMT-RAK-B1,BMDC-SW-RAK-D1,1,Gig 1/0/16
CCPL-CORE-SW,CCPL-SW-02,1,Gig 1/0/16
CORE-MT2,MT2-LT10-SW-01,1,Gig 1/0/16
BMDC-DIST-MT1,BMDC-ASSW-GFM1-01,1,Gig 1/0/17
BMDC-SW-MGMT-RAK-B1,BMDC-ACCSVR-N9K-RAKC1,1,Gig 1/0/17
CCPL-CORE-SW,CCPL-SW-03,1,Gig 1/0/17
CORE-MT2,MT2-LT10-SW-02,1,Gig 1/0/17
CCPL-CORE-SW,CCPL-SW-03,1,Gig 1/0/18
CORE-MT2,MT2-LT10-SW-03,1,Gig 1/0/18
BMDC-SW-EXT-OUT,SW-JTPM,1,Gig 1/0/19
BMDC-SW-MGMT-RAK-B1,BMDC-RAK-D1-DEV,1,Gig 1/0/19
CCPL-CORE-SW,CCPL-SW-04,1,Gig 1/0/19
CORE-MT2,MT2-LT10-SW-04,1,Gig 1/0/19
BMDC-DEV-DMZ-SW-C4,BMDC-DEV-RAKC1,1,Gig 1/0/2
BMDC-DIST-MT1,BMDC-SW-LT2-NEW,1,Gig 1/0/2
BMDC-EGSW-WAN,BMDC-P2P-01,1,Gig 1/0/2
BMDC-MGMT-A3,BMDC-RTRWAN-03,1,Gig 1/0/2
BMDC-RAK-D1-DEV,BMDC-DEV-DMZ-SW-C4,1,Gig 1/0/2
BMDC-SW-DATACENTER,BMDC-DEV-DMZ-SW-C4,1,Gig 1/0/2
CORE-MT2,BMDC-P2P-02,1,Gig 1/0/2
BMDC-SW-EXT-OUT,SW-JTPM,1,Gig 1/0/20
CORE-MT2,MT2-LT10-SW-05,1,Gig 1/0/20
BMDC-DIST-MT1,BMDC-SW-DATACENTER,1,Gig 1/0/21
CCPL-CORE-SW,CCPL-SW-05,1,Gig 1/0/21
BMDC-DIST-MT1,BMDC-SW-DATACENTER,1,Gig 1/0/22
BMDC-SW-MGMT-RAK-B1,BMDC-SW-EC-DMZ,1,Gig 1/0/22
CCPL-CORE-SW,CCPL-SW-05,1,Gig 1/0/22
CORE-MT2,MT2-LT10-SW-06,1,Gig 1/0/22
SW-JTPM,BMDC-SW-EXT-OUT,1,Gig 1/0/22
BMDC-ASSW-L1M1-KANAN,BMDC-DIST-MT1,1,Gig 1/0/23
BMDC-ASSW-L1M1-KIRI,BMDC-DIST-MT1,1,Gig 1/0/23
BMDC-DIST-MT1,BMDC-SW-MGMT-RAK-B1,1,Gig 1/0/23
BMDC-EGSW-EC-01,BMDC-CORE-01,1,Gig 1/0/23
BMDC-EGSW-EXT-01,BMDC-CORE-01,1,Gig 1/0/23
BMDC-EGSW-IC-01,BMDC-CORE-01,1,Gig 1/0/23
BMDC-EGSW-WAN,BMDC-CORE-01,1,Gig 1/0/23
BMDC-SW-DATACENTER,BMDC-SW-IC-DMZ,1,Gig 1/0/23
BMDC-SW-EXT-OUT,MYPD-DUKCAPIL,1,Gig 1/0/23
BMDRC-EDGE01,BMDRC-CORE01,1,Gig 1/0/23
BMDRC-EXT-INT-RAK-D7,RO1-BMI-UPH-TO-NTT,1,Gig 1/0/23
BMDC-ASSW-L1M1-KANAN,BMDC-DIST-MT1,1,Gig 1/0/24
BMDC-ASSW-L1M1-KIRI,BMDC-DIST-MT1,1,Gig 1/0/24
BMDC-DIST-MT1,BMDC-SW-MGMT-RAK-B1,1,Gig 1/0/24
BMDC-EGSW-EC-01,BMDC-CORE-02,1,Gig 1/0/24
BMDC-EGSW-EXT-01,BMDC-CORE-02,1,Gig 1/0/24
BMDC-EGSW-IC-01,BMDC-CORE-02,1,Gig 1/0/24
BMDC-EGSW-WAN,BMDC-CORE-02,1,Gig 1/0/24
BMDRC-EDGE01,BMDRC-CORE01,1,Gig 1/0/24
BMDRC-EXT-INT-RAK-D7,RO2-BMI-UPH-TO-DCI,1,Gig 1/0/24
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV,1,Gig 1/0/25
BMDC-SW-EXT-OUT,MYPD-BI,1,Gig 1/0/25
BMDC-SW-MGMT-RAK-B1,BMDC-EGSW-EC-01,1,Gig 1/0/25
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV,1,Gig 1/0/26
BMDC-SW-EXT-OUT,ISR-IT-BACKUP,1,Gig 1/0/26
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV,1,Gig 1/0/27
BMDC-SW-EXT-OUT,SW-JTPM,1,Gig 1/0/27
BMDC-SW-MGMT-RAK-B1,BMDC-EC-IC-IB-OUT,1,Gig 1/0/27
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV,1,Gig 1/0/28
BMDC-SW-EXT-OUT,MYPD-KEMENKEU,1,Gig 1/0/28
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV,1,Gig 1/0/29
BMDC-SW-EXT-OUT,MYPD-TIFHONE,1,Gig 1/0/29
BMDC-DIST-MT1,BMDC-ASSW-L1M1-KANAN,1,Gig 1/0/3
BMDC-RAK-D1-DEV,BMDC-DEV-DMZ-SW-C4,1,Gig 1/0/3
CORE-MT2,SW-MT2-SVR,1,Gig 1/0/3
SW-JTPM,BMDC-SW-EXT-OUT,1,Gig 1/0/3
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV,1,Gig 1/0/30
BMDC-SW-DATACENTER,BMDC-SW-EXT-DMZ,1,Gig 1/0/30
BMDC-SW-EXT-OUT,MYPD-STARLINK,1,Gig 1/0/30
BMDC-SW-MGMT-RAK-B1,BMDC-EGSW-IC-01,1,Gig 1/0/30
BMDC-SW-DATACENTER,BMDC-DIST-MT1,1,Gig 1/0/31
BMDC-SW-EXT-OUT,MYPD-FINNET,1,Gig 1/0/32
BMDC-SW-EXT-OUT,EFT-MAYAPADA-TOWER,1,Gig 1/0/33
BMDC-SW-MGMT-RAK-B1,BMDC-EGSW-WAN,1,Gig 1/0/33
BMDRC-ACCSVR-RAKC5,SW-TORBIFDRC-01,1,Gig 1/0/33
BMDC-ASSW-GFM1-01,BMDC-DIST-MT1,1,Gig 1/0/34
BMDC-SW-DATACENTER,BMDC-DEV-RAKC1,1,Gig 1/0/34
BMDC-SW-EXT-OUT,MYPD-ARTAJASA,1,Gig 1/0/34
BMDRC-ACCSVR-RAKC5,SW-TORBIFDRC-01,1,Gig 1/0/34
